# Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
# 
1967,3.70,4.50,5.80,6.80,8.90,12.70,14.80,14.10,12.40,9.30,4.80,3.60
1968,3.50,1.10,5.20,6.90,8.30,13.20,13.50,14.10,12.50,11.10,5.50,2.60
1969,4.40,0.20,2.60,6.30,9.70,12.60,15.10,14.90,12.60,11.70,4.00,2.70
1970,2.90,1.80,3.00,5.50,11.20,14.60,13.50,14.60,12.90,9.50,6.30,3.60
1971,3.90,4.00,4.40,6.70,10.30,11.10,15.10,14.20,13.10,10.30,5.30,6.00
1972,3.10,3.40,5.40,7.30,9.40,10.50,14.10,13.50,10.70,9.60,5.20,4.80
1973,3.90,3.40,5.40,5.90,9.80,13.30,14.30,14.90,12.70,8.20,5.10,4.00
1974,5.10,4.50,4.60,7.10,9.70,12.30,13.50,13.70,10.70,6.90,5.60,6.50
1975,5.30,3.80,3.90,7.10,8.60,13.00,15.50,16.70,11.80,9.20,5.40,4.60
1976,4.60,3.80,4.00,7.00,10.30,14.90,16.50,15.70,12.00,9.30,5.20,1.30
1977,1.90,3.60,5.80,6.00,9.20,11.20,14.60,13.90,11.70,10.60,5.10,5.10
1978,2.30,1.40,5.50,5.50,10.40,12.30,13.30,13.70,12.60,10.70,7.30,3.30
1979,-0.50,0.60,3.40,6.40,8.40,12.70,14.40,13.30,11.90,10.10,5.60,4.40
1980,1.70,4.50,3.70,7.70,10.00,12.50,13.30,14.40,13.30,7.80,5.50,4.70
1981,3.80,2.50,6.30,6.80,10.20,12.00,14.10,14.80,13.10,6.80,6.50,-0.10
1982,2.10,4.20,5.00,7.60,10.10,13.60,15.10,14.40,12.60,9.10,6.50,3.40
1983,5.40,1.30,5.50,5.50,8.90,12.60,17.10,15.90,12.10,9.20,6.60,5.00
1984,2.30,3.10,3.90,7.20,8.90,13.10,15.20,15.80,12.10,9.70,6.80,4.60
1985,0.40,2.00,3.70,7.20,9.60,11.30,14.50,13.20,12.80,9.90,3.10,5.10
1986,2.50,-1.10,4.20,4.80,9.80,13.20,14.20,12.20,10.30,9.70,6.70,4.80
1987,0.70,2.90,3.30,8.70,9.00,11.30,14.50,14.10,12.20,8.30,5.80,4.80
1988,4.10,3.90,5.10,7.10,10.50,13.30,13.50,13.90,12.10,9.40,5.00,6.60
1989,5.80,4.90,6.00,5.50,11.30,12.90,16.40,14.80,12.90,10.50,5.70,3.60
1990,5.50,5.90,7.20,7.00,11.20,12.40,15.20,16.10,11.70,10.50,5.80,3.70
1991,2.50,1.30,6.60,7.00,9.90,11.00,15.90,15.60,13.10,9.00,5.70,4.20
1992,3.40,4.80,6.10,7.40,11.90,14.30,14.70,13.80,11.90,6.70,6.10,3.10
1993,4.70,4.60,5.60,8.20,10.00,13.30,13.70,13.10,11.20,7.30,4.10,3.90
1994,4.00,2.40,6.00,6.90,9.30,12.70,16.00,14.30,11.50,9.00,8.80,5.30
1995,3.50,5.00,4.20,7.60,10.20,12.90,16.60,17.30,12.40,11.60,6.80,1.60
1996,4.00,2.00,3.70,7.50,8.00,12.90,14.70,15.10,12.60,10.40,4.70,2.40
1997,2.10,5.30,7.10,7.90,10.20,12.60,15.30,17.20,12.70,9.20,7.70,5.10
1998,4.30,6.80,6.70,6.60,11.50,12.70,14.10,14.50,13.40,9.10,5.30,4.90
1999,4.50,4.20,6.20,8.30,11.50,12.40,15.90,14.80,14.20,9.80,6.80,3.60
2000,4.30,5.10,6.50,6.70,10.80,13.20,14.10,15.20,13.50,9.30,5.80,4.60
2001,2.50,3.40,4.00,6.60,11.30,12.60,15.20,15.20,12.20,12.20,6.80,3.10
2002,5.00,5.50,6.40,8.20,10.70,13.10,14.40,15.60,13.10,8.70,7.50,4.70
2003,3.70,3.40,6.70,8.80,10.70,14.50,16.20,16.50,13.10,8.10,7.30,4.20
2004,4.40,4.30,5.70,8.50,11.00,13.90,14.40,16.10,13.40,9.30,7.00,5.00
2005,5.30,3.70,6.40,7.90,10.00,14.10,15.30,14.80,13.80,11.60,5.60,4.10
2006,3.80,3.40,3.90,7.40,10.70,14.50,17.80,14.90,15.20,11.60,7.20,5.50
2007,5.90,5.10,6.30,10.20,10.60,13.70,14.20,14.30,12.60,10.20,6.80,4.40
2008,5.30,4.90,5.10,7.00,12.10,12.90,15.30,15.10,12.50,8.70,6.10,3.10
2009,2.80,3.70,6.10,8.90,10.80,13.70,15.10,15.30,13.20,10.40,7.30,2.10
2010,0.90,1.80,5.10,7.90,9.70,14.10,15.60,14.20,12.80,9.40,4.30,-0.90
